id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
83-5,Abaya Inner - Black,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-bl-inner,https://cdn.sanity.io/images/1uqris3e/production/083290b9272638b5ec62e9d9136ac8e79c7808d0-681x500.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,241712b4-e628-4e7b-acdb-0fa80defcec8,female,Black,XL,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
83-6,Abaya Inner - Black,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-bl-inner,https://cdn.sanity.io/images/1uqris3e/production/083290b9272638b5ec62e9d9136ac8e79c7808d0-681x500.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,241712b4-e628-4e7b-acdb-0fa80defcec8,female,Black,XXL,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
84-1,Abaya Inner - White,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-wh-inner,https://cdn.sanity.io/images/1uqris3e/production/b750b816783f001a76b213a1c100ac48b70fc420-643x522.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,08912363-692f-4f45-b42b-46c4bf40ece8,female,White,XS,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
84-2,Abaya Inner - White,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-wh-inner,https://cdn.sanity.io/images/1uqris3e/production/b750b816783f001a76b213a1c100ac48b70fc420-643x522.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,08912363-692f-4f45-b42b-46c4bf40ece8,female,White,S,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
84-3,Abaya Inner - White,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-wh-inner,https://cdn.sanity.io/images/1uqris3e/production/b750b816783f001a76b213a1c100ac48b70fc420-643x522.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,08912363-692f-4f45-b42b-46c4bf40ece8,female,White,M,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
84-4,Abaya Inner - White,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-wh-inner,https://cdn.sanity.io/images/1uqris3e/production/b750b816783f001a76b213a1c100ac48b70fc420-643x522.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,08912363-692f-4f45-b42b-46c4bf40ece8,female,White,L,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
84-5,Abaya Inner - White,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-wh-inner,https://cdn.sanity.io/images/1uqris3e/production/b750b816783f001a76b213a1c100ac48b70fc420-643x522.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,08912363-692f-4f45-b42b-46c4bf40ece8,female,White,XL,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
84-6,Abaya Inner - White,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-wh-inner,https://cdn.sanity.io/images/1uqris3e/production/b750b816783f001a76b213a1c100ac48b70fc420-643x522.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,08912363-692f-4f45-b42b-46c4bf40ece8,female,White,XXL,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
78-1,Ayra,"Inspired by the palm trees of Arabia, Ayra consists of embroidery work in light pink and beige, across the sleeves of the abaya. Manufactured in Nida Fabric, a highly breathable and flowey material. The abaya has an A-Shape, allowing for freedom of movement and does not show the silhouette of the body. The Abaya also comes paired with a matching embroidered shawl, along it's border.",in stock,new,9950.00 LKR,https://nooramodesty.com/product/aby-emb-slv-nd-bl-ayra,https://cdn.sanity.io/images/1uqris3e/production/56fca5d6e52503195a84f7c273b4f05071230cab-5464x6830.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,1e4cb883-f5e5-4563-bd51-1bd3699a58f4,female,Black,XS,adult,,,,,,,,,,classic-abayas,Peninsula Collection,
78-2,Ayra,"Inspired by the palm trees of Arabia, Ayra consists of embroidery work in light pink and beige, across the sleeves of the abaya. Manufactured in Nida Fabric, a highly breathable and flowey material. The abaya has an A-Shape, allowing for freedom of movement and does not show the silhouette of the body. The Abaya also comes paired with a matching embroidered shawl, along it's border.",in stock,new,9950.00 LKR,https://nooramodesty.com/product/aby-emb-slv-nd-bl-ayra,https://cdn.sanity.io/images/1uqris3e/production/56fca5d6e52503195a84f7c273b4f05071230cab-5464x6830.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,1e4cb883-f5e5-4563-bd51-1bd3699a58f4,female,Black,S,adult,,,,,,,,,,classic-abayas,Peninsula Collection,
78-3,Ayra,"Inspired by the palm trees of Arabia, Ayra consists of embroidery work in light pink and beige, across the sleeves of the abaya. Manufactured in Nida Fabric, a highly breathable and flowey material. The abaya has an A-Shape, allowing for freedom of movement and does not show the silhouette of the body. The Abaya also comes paired with a matching embroidered shawl, along it's border.",in stock,new,9950.00 LKR,https://nooramodesty.com/product/aby-emb-slv-nd-bl-ayra,https://cdn.sanity.io/images/1uqris3e/production/56fca5d6e52503195a84f7c273b4f05071230cab-5464x6830.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,1e4cb883-f5e5-4563-bd51-1bd3699a58f4,female,Black,M,adult,,,,,,,,,,classic-abayas,Peninsula Collection,
78-4,Ayra,"Inspired by the palm trees of Arabia, Ayra consists of embroidery work in light pink and beige, across the sleeves of the abaya. Manufactured in Nida Fabric, a highly breathable and flowey material. The abaya has an A-Shape, allowing for freedom of movement and does not show the silhouette of the body. The Abaya also comes paired with a matching embroidered shawl, along it's border.",in stock,new,9950.00 LKR,https://nooramodesty.com/product/aby-emb-slv-nd-bl-ayra,https://cdn.sanity.io/images/1uqris3e/production/56fca5d6e52503195a84f7c273b4f05071230cab-5464x6830.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,1e4cb883-f5e5-4563-bd51-1bd3699a58f4,female,Black,L,adult,,,,,,,,,,classic-abayas,Peninsula Collection,
78-5,Ayra,"Inspired by the palm trees of Arabia, Ayra consists of embroidery work in light pink and beige, across the sleeves of the abaya. Manufactured in Nida Fabric, a highly breathable and flowey material. The abaya has an A-Shape, allowing for freedom of movement and does not show the silhouette of the body. The Abaya also comes paired with a matching embroidered shawl, along it's border.",in stock,new,9950.00 LKR,https://nooramodesty.com/product/aby-emb-slv-nd-bl-ayra,https://cdn.sanity.io/images/1uqris3e/production/56fca5d6e52503195a84f7c273b4f05071230cab-5464x6830.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,1e4cb883-f5e5-4563-bd51-1bd3699a58f4,female,Black,XL,adult,,,,,,,,,,classic-abayas,Peninsula Collection,
78-6,Ayra,"Inspired by the palm trees of Arabia, Ayra consists of embroidery work in light pink and beige, across the sleeves of the abaya. Manufactured in Nida Fabric, a highly breathable and flowey material. The abaya has an A-Shape, allowing for freedom of movement and does not show the silhouette of the body. The Abaya also comes paired with a matching embroidered shawl, along it's border.",in stock,new,9950.00 LKR,https://nooramodesty.com/product/aby-emb-slv-nd-bl-ayra,https://cdn.sanity.io/images/1uqris3e/production/56fca5d6e52503195a84f7c273b4f05071230cab-5464x6830.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,1e4cb883-f5e5-4563-bd51-1bd3699a58f4,female,Black,XXL,adult,,,,,,,,,,classic-abayas,Peninsula Collection,
68-1,Feather Embroidery,"Elevate your everyday wardrobe with a timeless blend of luxury and style. As seen. this classic black abaya features intricate, contrast white feather motif embroidery meticulously crafted in-house to offer a subtle statement of elegance. Tailored from ultra-smooth, premium Nida fabric, it delivers a flawless, fluid drape and a subtle, sophisticated sheen. Designed with a versatile, relaxed silhouette, it’s the ultimate wardrobe staple for the modern woman who values high-quality, empowering modest fashion.",in stock,new,7950.00 LKR,https://nooramodesty.com/product/aby-emb-full-nd-bl-feather,https://cdn.sanity.io/images/1uqris3e/production/e44b6571a000a39676001c76d927b70a1722a5bf-5464x6830.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,32fa0eda-e3f6-49f3-81c6-4ce56dfcbab1,female,Black,XS,adult,Nida,,,,,,,,,classic-abayas,Timeless Classics,
68-2,Feather Embroidery,"Elevate your everyday wardrobe with a timeless blend of luxury and style. As seen. this classic black abaya features intricate, contrast white feather motif embroidery meticulously crafted in-house to offer a subtle statement of elegance. Tailored from ultra-smooth, premium Nida fabric, it delivers a flawless, fluid drape and a subtle, sophisticated sheen. Designed with a versatile, relaxed silhouette, it’s the ultimate wardrobe staple for the modern woman who values high-quality, empowering modest fashion.",in stock,new,7950.00 LKR,https://nooramodesty.com/product/aby-emb-full-nd-bl-feather,https://cdn.sanity.io/images/1uqris3e/production/e44b6571a000a39676001c76d927b70a1722a5bf-5464x6830.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,32fa0eda-e3f6-49f3-81c6-4ce56dfcbab1,female,Black,S,adult,Nida,,,,,,,,,classic-abayas,Timeless Classics,
68-3,Feather Embroidery,"Elevate your everyday wardrobe with a timeless blend of luxury and style. As seen. this classic black abaya features intricate, contrast white feather motif embroidery meticulously crafted in-house to offer a subtle statement of elegance. Tailored from ultra-smooth, premium Nida fabric, it delivers a flawless, fluid drape and a subtle, sophisticated sheen. Designed with a versatile, relaxed silhouette, it’s the ultimate wardrobe staple for the modern woman who values high-quality, empowering modest fashion.",in stock,new,7950.00 LKR,https://nooramodesty.com/product/aby-emb-full-nd-bl-feather,https://cdn.sanity.io/images/1uqris3e/production/e44b6571a000a39676001c76d927b70a1722a5bf-5464x6830.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,32fa0eda-e3f6-49f3-81c6-4ce56dfcbab1,female,Black,M,adult,Nida,,,,,,,,,classic-abayas,Timeless Classics,
68-4,Feather Embroidery,"Elevate your everyday wardrobe with a timeless blend of luxury and style. As seen. this classic black abaya features intricate, contrast white feather motif embroidery meticulously crafted in-house to offer a subtle statement of elegance. Tailored from ultra-smooth, premium Nida fabric, it delivers a flawless, fluid drape and a subtle, sophisticated sheen. Designed with a versatile, relaxed silhouette, it’s the ultimate wardrobe staple for the modern woman who values high-quality, empowering modest fashion.",in stock,new,7950.00 LKR,https://nooramodesty.com/product/aby-emb-full-nd-bl-feather,https://cdn.sanity.io/images/1uqris3e/production/e44b6571a000a39676001c76d927b70a1722a5bf-5464x6830.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,32fa0eda-e3f6-49f3-81c6-4ce56dfcbab1,female,Black,L,adult,Nida,,,,,,,,,classic-abayas,Timeless Classics,
68-5,Feather Embroidery,"Elevate your everyday wardrobe with a timeless blend of luxury and style. As seen. this classic black abaya features intricate, contrast white feather motif embroidery meticulously crafted in-house to offer a subtle statement of elegance. Tailored from ultra-smooth, premium Nida fabric, it delivers a flawless, fluid drape and a subtle, sophisticated sheen. Designed with a versatile, relaxed silhouette, it’s the ultimate wardrobe staple for the modern woman who values high-quality, empowering modest fashion.",in stock,new,7950.00 LKR,https://nooramodesty.com/product/aby-emb-full-nd-bl-feather,https://cdn.sanity.io/images/1uqris3e/production/e44b6571a000a39676001c76d927b70a1722a5bf-5464x6830.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,32fa0eda-e3f6-49f3-81c6-4ce56dfcbab1,female,Black,XL,adult,Nida,,,,,,,,,classic-abayas,Timeless Classics,
68-6,Feather Embroidery,"Elevate your everyday wardrobe with a timeless blend of luxury and style. As seen. this classic black abaya features intricate, contrast white feather motif embroidery meticulously crafted in-house to offer a subtle statement of elegance. Tailored from ultra-smooth, premium Nida fabric, it delivers a flawless, fluid drape and a subtle, sophisticated sheen. Designed with a versatile, relaxed silhouette, it’s the ultimate wardrobe staple for the modern woman who values high-quality, empowering modest fashion.",in stock,new,7950.00 LKR,https://nooramodesty.com/product/aby-emb-full-nd-bl-feather,https://cdn.sanity.io/images/1uqris3e/production/e44b6571a000a39676001c76d927b70a1722a5bf-5464x6830.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,32fa0eda-e3f6-49f3-81c6-4ce56dfcbab1,female,Black,XXL,adult,Nida,,,,,,,,,classic-abayas,Timeless Classics,
86-1,Hala,"Elevate your everyday modesty with a touch of timeless craftsmanship. Designed for the modern woman who values both sophistication and comfort, this classic black open abaya features striking, intricate geometric and botanical embroidery along the wide cuffs. The sharp white-and-charcoal contrast stitching adds an elegant, artisanal dimension to a fluid, graceful silhouette. Whether you’re dressing up for an evening out or keeping it effortlessly chic for daytime wear, its versatile open-front design drapes beautifully, making it an essential staple for your modest wardrobe. Design Details Color: Deep Jet Black Fabric: Premium, breathable, and lightweight crepe (non-see-through) Sleeve Style: Wide, relaxed sleeves featuring intricate high-contrast embroidery on the cuffs Cut: Classic open-front silhouette that flows gracefully with movement Please Note: The matching black waist belt is included with the abaya to let you style it open or cinched. The white inner slip dress worn by the model is sold separately.",in stock,new,7450.00 LKR,https://nooramodesty.com/product/aby-emb-slv-nd-bl-hala,https://cdn.sanity.io/images/1uqris3e/production/123a82f84ea3f21126ec429a259cde7ffd0a564b-5463x8191.webp,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,0ea1ee57-d576-49b4-a715-90f4e35c61ee,female,Black,XS,adult,Nida,,,,,,,,,coat-abayas,Embroidered Abaya,
86-2,Hala,"Elevate your everyday modesty with a touch of timeless craftsmanship. Designed for the modern woman who values both sophistication and comfort, this classic black open abaya features striking, intricate geometric and botanical embroidery along the wide cuffs. The sharp white-and-charcoal contrast stitching adds an elegant, artisanal dimension to a fluid, graceful silhouette. Whether you’re dressing up for an evening out or keeping it effortlessly chic for daytime wear, its versatile open-front design drapes beautifully, making it an essential staple for your modest wardrobe. Design Details Color: Deep Jet Black Fabric: Premium, breathable, and lightweight crepe (non-see-through) Sleeve Style: Wide, relaxed sleeves featuring intricate high-contrast embroidery on the cuffs Cut: Classic open-front silhouette that flows gracefully with movement Please Note: The matching black waist belt is included with the abaya to let you style it open or cinched. The white inner slip dress worn by the model is sold separately.",in stock,new,7450.00 LKR,https://nooramodesty.com/product/aby-emb-slv-nd-bl-hala,https://cdn.sanity.io/images/1uqris3e/production/123a82f84ea3f21126ec429a259cde7ffd0a564b-5463x8191.webp,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,0ea1ee57-d576-49b4-a715-90f4e35c61ee,female,Black,S,adult,Nida,,,,,,,,,coat-abayas,Embroidered Abaya,
86-3,Hala,"Elevate your everyday modesty with a touch of timeless craftsmanship. Designed for the modern woman who values both sophistication and comfort, this classic black open abaya features striking, intricate geometric and botanical embroidery along the wide cuffs. The sharp white-and-charcoal contrast stitching adds an elegant, artisanal dimension to a fluid, graceful silhouette. Whether you’re dressing up for an evening out or keeping it effortlessly chic for daytime wear, its versatile open-front design drapes beautifully, making it an essential staple for your modest wardrobe. Design Details Color: Deep Jet Black Fabric: Premium, breathable, and lightweight crepe (non-see-through) Sleeve Style: Wide, relaxed sleeves featuring intricate high-contrast embroidery on the cuffs Cut: Classic open-front silhouette that flows gracefully with movement Please Note: The matching black waist belt is included with the abaya to let you style it open or cinched. The white inner slip dress worn by the model is sold separately.",in stock,new,7450.00 LKR,https://nooramodesty.com/product/aby-emb-slv-nd-bl-hala,https://cdn.sanity.io/images/1uqris3e/production/123a82f84ea3f21126ec429a259cde7ffd0a564b-5463x8191.webp,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,0ea1ee57-d576-49b4-a715-90f4e35c61ee,female,Black,M,adult,Nida,,,,,,,,,coat-abayas,Embroidered Abaya,
86-4,Hala,"Elevate your everyday modesty with a touch of timeless craftsmanship. Designed for the modern woman who values both sophistication and comfort, this classic black open abaya features striking, intricate geometric and botanical embroidery along the wide cuffs. The sharp white-and-charcoal contrast stitching adds an elegant, artisanal dimension to a fluid, graceful silhouette. Whether you’re dressing up for an evening out or keeping it effortlessly chic for daytime wear, its versatile open-front design drapes beautifully, making it an essential staple for your modest wardrobe. Design Details Color: Deep Jet Black Fabric: Premium, breathable, and lightweight crepe (non-see-through) Sleeve Style: Wide, relaxed sleeves featuring intricate high-contrast embroidery on the cuffs Cut: Classic open-front silhouette that flows gracefully with movement Please Note: The matching black waist belt is included with the abaya to let you style it open or cinched. The white inner slip dress worn by the model is sold separately.",in stock,new,7450.00 LKR,https://nooramodesty.com/product/aby-emb-slv-nd-bl-hala,https://cdn.sanity.io/images/1uqris3e/production/123a82f84ea3f21126ec429a259cde7ffd0a564b-5463x8191.webp,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,0ea1ee57-d576-49b4-a715-90f4e35c61ee,female,Black,L,adult,Nida,,,,,,,,,coat-abayas,Embroidered Abaya,
86-5,Hala,"Elevate your everyday modesty with a touch of timeless craftsmanship. Designed for the modern woman who values both sophistication and comfort, this classic black open abaya features striking, intricate geometric and botanical embroidery along the wide cuffs. The sharp white-and-charcoal contrast stitching adds an elegant, artisanal dimension to a fluid, graceful silhouette. Whether you’re dressing up for an evening out or keeping it effortlessly chic for daytime wear, its versatile open-front design drapes beautifully, making it an essential staple for your modest wardrobe. Design Details Color: Deep Jet Black Fabric: Premium, breathable, and lightweight crepe (non-see-through) Sleeve Style: Wide, relaxed sleeves featuring intricate high-contrast embroidery on the cuffs Cut: Classic open-front silhouette that flows gracefully with movement Please Note: The matching black waist belt is included with the abaya to let you style it open or cinched. The white inner slip dress worn by the model is sold separately.",in stock,new,7450.00 LKR,https://nooramodesty.com/product/aby-emb-slv-nd-bl-hala,https://cdn.sanity.io/images/1uqris3e/production/123a82f84ea3f21126ec429a259cde7ffd0a564b-5463x8191.webp,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,0ea1ee57-d576-49b4-a715-90f4e35c61ee,female,Black,XL,adult,Nida,,,,,,,,,coat-abayas,Embroidered Abaya,
86-6,Hala,"Elevate your everyday modesty with a touch of timeless craftsmanship. Designed for the modern woman who values both sophistication and comfort, this classic black open abaya features striking, intricate geometric and botanical embroidery along the wide cuffs. The sharp white-and-charcoal contrast stitching adds an elegant, artisanal dimension to a fluid, graceful silhouette. Whether you’re dressing up for an evening out or keeping it effortlessly chic for daytime wear, its versatile open-front design drapes beautifully, making it an essential staple for your modest wardrobe. Design Details Color: Deep Jet Black Fabric: Premium, breathable, and lightweight crepe (non-see-through) Sleeve Style: Wide, relaxed sleeves featuring intricate high-contrast embroidery on the cuffs Cut: Classic open-front silhouette that flows gracefully with movement Please Note: The matching black waist belt is included with the abaya to let you style it open or cinched. The white inner slip dress worn by the model is sold separately.",in stock,new,7450.00 LKR,https://nooramodesty.com/product/aby-emb-slv-nd-bl-hala,https://cdn.sanity.io/images/1uqris3e/production/123a82f84ea3f21126ec429a259cde7ffd0a564b-5463x8191.webp,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,0ea1ee57-d576-49b4-a715-90f4e35c61ee,female,Black,XXL,adult,Nida,,,,,,,,,coat-abayas,Embroidered Abaya,
41-1,Haya,"Haya was inspired by the beauty and essence of Arabic Calligraphy. Featuring intricate, flowing calligraphy embroidered exclusively along the sleeves, this piece serves as a wearable masterpiece. Crafted for the modern woman who carries her heritage with grace, it strikes the perfect balance between statement detail and timeless simplicity. Haya comes paired with an embroidered chiffon shawl to complete the look.",in stock,new,9950.00 LKR,https://nooramodesty.com/product/aby-emb-slv-nd-bl-haya,https://cdn.sanity.io/images/1uqris3e/production/0a8b33b3cfce9e4720ac90af5c888c18bbcce730-5455x8183.webp,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,00986bee-3dcc-481e-8fc0-2fff9ba5d3eb,female,Black,XS,adult,,,,,,,,,,classic-abayas,Peninsula Collection,
